name,Manufacturer,Part #,Type,Efficiency Rating,Wattage,Length,Modular,Color,Fanless,ATX 4-pin Connectors,EPS 8-pin Connectors,PCIe 16-pin 12VHPWR/12V-2x6 Connectors,PCIe 12-pin Connectors,PCIe 8-pin Connectors,PCIe 6+2-pin Connectors,PCIe 6-pin Connectors,SATA Connectors,AMP/Molex 4-pin Connectors
ADATA XPG Core Reactor II         (6),ADATA,"COREREACTORII750G-BKCUS, COREREACTORII750G-BKCAU, COREREACTORII750G-BKCEU",ATX,80+ Gold,750 W,140 mm,Full,Black,No,0,2,1,0,0,6,0,8,4
NZXT C850 (2024)         (8),NZXT,"PA-8G2BB-US, PA-8G2BB-AU, PA-8G2BB-EU, PA-8G2BB-UK",ATX,80+ Gold,850 W,160 mm,Full,Black,No,0,2,1,0,0,3,0,12,4
MSI MPG A850G PCIE5         (31),MSI,"MPG A850G PCIE5, 306-7ZP7B11-CE0",ATX,80+ Gold,850 W,150 mm,Full,Black,No,0,2,1,0,0,6,0,8,4
Vetroo 50315153244479         (0),Vetroo,"50315153244479, VT-850W-G5(BK)",ATX,80+ Gold,850 W,140 mm,Full,Black,No,0,2,1,0,0,6,0,8,6
Corsair CX650M (2021)         (33),Corsair,"CP-9020221-NA, CP-9020221-UK, CP-9020221-EU, CP-9020221-AU",ATX,80+ Bronze,650 W,140 mm,Semi,Black,No,0,2,0,0,0,2,0,6,4
Corsair HX1200i         (3),Corsair,"CP-9020281-NA, CP-9020281-AU, CP-9020281-UK, CP-9020281-WW, CP-9020281-EU",ATX,80+ Platinum,1200 W,200 mm,Full,Black,No,0,2,1,0,0,4,0,8,8
Apevia Prestige         (9),Apevia,ATX-RP600W,ATX,80+ Gold,600 W,160 mm,No,Black,No,0,1,0,0,0,2,0,4,4
be quiet! Pure Power 12 M         (9),be quiet!,"BN506, BN717, BN345",ATX,80+ Gold,1000 W,160 mm,Full,Black,No,0,2,1,0,0,4,0,6,2
Apevia CAPTAIN         (0),Apevia,CAPTAIN550,ATX,,550 W,140 mm,No,Black,No,0,1,0,0,0,1,0,3,3
Asus TUF Gaming 1000G         (7),Asus,"90YE00S1-B0NA00, TUF-GAMING-1000G",ATX,80+ Gold,1000 W,150 mm,Full,Black,No,0,2,1,0,0,4,0,5,4
MSI MEG Ai-T PCIE5         (1),MSI,MEG Ai1600T PCIE5,ATX,80+ Titanium,1600 W,190 mm,Full,Black / Gold,No,0,2,2,0,0,9,0,8,8
