name,Manufacturer,Part #,Socket / CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,PCIe x1 Slots,M.2 Slots,SATA 6.0 Gb/s Ports,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,Supports ECC,Wireless Networking,RAID Support,Uses Back-Connect Connectors
Gigabyte B850 GAMING WIFI6         (1),Gigabyte,"B850 GAMING WIFI6, B850 GAMING WF6",AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-7900, DDR5-7950, DDR5-8000, DDR5-8200",Black / Gray,4,,"2280/22110 M-key, 2280/22110 M-key, 2280/22110 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6,Yes,No
ASRock X870E Taichi         (4),ASRock,"X870E Taichi, 90-MXBP90-A0UAYZ",AM5,EATX,AMD X870E,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200",Black,2,,"2280 M-key, 2280 M-key, 2280 M-key, 2280 M-key, 2230 E-key",6,1 x 5 Gb/s Ports (Realtek 8126),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
Gigabyte B550 EAGLE WIFI6         (1),Gigabyte,B550 EAGLE WIFI6,AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200",Black,5,,"2280/22110 M-key, 2280/22110 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Asus ROG STRIX B650E-I GAMING WIFI         (63),Asus,"ROG STRIX B650E-I GAMING WIFI, 90MB1BI0-M0EAY0",AM5,Mini ITX,AMD B650E,96 GB,DDR5,2,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,1,,"2242/2260/2280 M-key, 2242/2260/2280 M-key",2,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,1,1,1,No,Wi-Fi 6E,Yes,No
Gigabyte B650 AORUS ELITE AX         (88),Gigabyte,B650 AORUS ELITE AX,AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600",Black / Silver,3,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 6E,Yes,No
MSI PRO B650M-A WIFI         (41),MSI,"PRO B650M-A WIFI, 7D77-001R, B650MAWIFI, 911-7D77-001",AM5,Micro ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,2,1,"2260/2280 M-key, 2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek 8125BG),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
ASRock B760M-HDV/M.2         (3),ASRock,"B760M-HDV/M.2, 90-MXBMJ0-A0UAYZ",LGA1700,Micro ATX,Intel B760,96 GB,DDR5,2,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",White / Black,1,2,"2260/2280 M-key, 2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2,1,,No,None,Yes,No
Asus ROG STRIX B850-A GAMING WIFI         (3),Asus,"ROG STRIX B850-A GAMING WIFI, 90MB1J50-M0AAY0, 90MB1J50-M0EAY0",AM5,ATX,AMD B850,192 GB,DDR5,4,"DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",White,2,,"2242/2260/2280 M-key, 2280/22110 M-key, 2280 M-key, 2280 M-key",2,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,2,1,1,No,Wi-Fi 7,Yes,No
Gigabyte A520I AC         (19),Gigabyte,"A520I AC, GA-A520I AC",AM4,Mini ITX,AMD A520,64 GB,DDR4,2,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3333, DDR4-3600, DDR4-4000, DDR4-4400, DDR4-4600, DDR4-4866, DDR4-5000, DDR4-5100",Black,1,,2260/2280 M-key,4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,1,1,,No,Wi-Fi 5,Yes,No
ASRock B550M Pro4         (49),ASRock,"B550M Pro4, 90-MXBDK0-A0UAYZ",AM4,Micro ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3800, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4200, DDR4-4266, DDR4-4333, DDR4-4400, DDR4-4533",Silver / Black,2,1,"2280 M-key, 2280 M-key, 2230 E-key",6,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2,2,,No,None,Yes,No
