name,Manufacturer,Part #,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME,Full Disk Write Throughput,Full Disk Write Throughput (Lowest 10 Seconds),Random Read Throughput QD1,Random Read Throughput QD32,Random Write Throughput QD1,Random Write Throughput QD32,Sequential Read Throughput QD1,Sequential Read Throughput QD4,Sequential Write Throughput QD1,Sequential Write Throughput QD4
Western Digital Black SN770         (26),Western Digital,"WDS500G3X0E, WDS500G3X0E-00B3N0",500 GB,$0.114,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 980         (35),Samsung,"MZ-V8V500B/AM, MZ-V8V500BW",500 GB,$0.134,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Acer Predator GM7000         (7),Acer,BL.9BWWR.105,1 TB,$0.078,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Kingston KC3000         (23),Kingston,SKC3000S/1024G,1.024 TB,$0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Western Digital WD_BLACK SN7100         (0),Western Digital,"WDS200T4X0E-00CJA0, WDS200T4X0E",2 TB,$0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Kingston NV3         (3),Kingston,SNV3S/500G,500 GB,$0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 970 Evo         (320),Samsung,"MZ-V7E1T0BW, MZ-V7E1T0B/AM",1 TB,$0.160,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Intel D3-S4610         (0),Intel,SSDSC2KG076T801,7.68 TB,$0.195,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
TEAMGROUP MP44L         (4),TEAMGROUP,TM8FPK500G0C101,500 GB,$0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Lexar NM710         (10),Lexar,"LNM710X001T-RNNNG, LNM710X001T-RNNNU",1 TB,$0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Lexar NM620         (7),Lexar,"LNM620X001T-RNNNG, LNM620X001T-RNNNU",1 TB,$0.080,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Sabrent Rocket 5         (0),Sabrent,SB-RKT5-4TB,4 TB,$0.164,SSD,,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
TEAMGROUP MP33 PRO         (5),TEAMGROUP,TM8FPD001T0C101,1 TB,$0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
