name,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Thread Count,Performance Core Clock,Performance Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD Ryzen 9 7900X         (94),AMD,100-100000589WOF,AMD Ryzen 9,Zen 4,Raphael,AM5,12,24,4.7 GHz,5.6 GHz,12 MB,64 MB,170 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 7 5700X3D         (36),AMD,100-100001503WOF,AMD Ryzen 7,Zen 3,Vermeer-X,AM4,8,16,3 GHz,4.1 GHz,4 MB,96 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i5-14400F         (0),Intel,BX8071514400F,Intel Core i5,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,10,16,2.5 GHz,4.7 GHz,9.5 MB,20 MB,65 W,None,192 GB,Yes,Yes,Boxed,7 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 7 7700         (45),AMD,100-100000592BOX,AMD Ryzen 7,Zen 4,Raphael,AM5,8,16,3.6 GHz,5.3 GHz,8 MB,32 MB,65 W,Radeon,128 GB,Yes,Yes,Boxed,5 nm,Yes,Yes
AMD Ryzen 9 9950X         (11),AMD,100-100001277WOF,AMD Ryzen 9,Zen 5,Granite Ridge,AM5,16,32,4.3 GHz,5.7 GHz,16 MB,64 MB,170 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
Intel Core i7-12700K         (149),Intel,BX8071512700K,Intel Core i7,Alder Lake,Alder Lake,LGA1700,12,20,3.6 GHz,5 GHz,12 MB,25 MB,125 W,Intel UHD Graphics 770,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core Ultra 7 265K         (6),Intel,BX80768265K,Intel Core Ultra 7,Arrow Lake,Arrow Lake,LGA1851,20,20,3.9 GHz,5.5 GHz,36 MB,30 MB,125 W,Intel Xe,256 GB,Yes,No,Boxed,3 nm,No,No
AMD Ryzen 5 7500F         (38),AMD,100-100000597BOX,AMD Ryzen 5,Zen 4,Raphael,AM5,6,12,3.7 GHz,5 GHz,6 MB,32 MB,65 W,None,128 GB,Yes,Yes,Boxed,5 nm,Yes,Yes
Intel Core i5-14600K         (15),Intel,BX8071514600K,Intel Core i5,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,14,20,3.5 GHz,5.3 GHz,20 MB,24 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,7 nm,No,Yes: Hyper-Threading
AMD Ryzen 5 8500G         (1),AMD,100-100000931BOX,AMD Ryzen 5,Zen 4,Phoenix 2,AM5,6,12,4.1 GHz,5 GHz,6 MB,16 MB,65 W,Radeon 740M,,No,Yes,Boxed,4 nm,Yes,Yes
