name,Manufacturer,Part #,Size,Color,Quantity,Flow Direction,Airflow,Noise Level,PWM,LED,Connector,Controller,Static Pressure
Corsair RS120 ARGB         (2),Corsair,CO-9050180-WW,120 mm,Black,Single,Standard,13.3 - 72.8 CFM,10 - 36 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,4.15 mmH₂O
Noctua P12 redux-1700 PWM         (132),Noctua,"NF-P12 REDUX-1700 PWM, Noctua NF-P12 redux-1700 PWM, NF-P12-REDUX-1700P",120 mm,Gray,Single,Standard,70.75 CFM,25.1 dB,Yes,None,4-pin PWM,None,2.83 mmH₂O
be quiet! Silent Wings Pro 4         (23),be quiet!,BL098,120 mm,Black,Single,Standard,83.9 CFM,36.9 dB,Yes,None,4-pin PWM,None,5.31 mmH₂O
Corsair iCUE ML RGB ELITE Premium 3-Pack         (5),Corsair,CO-9050113-WW,120 mm,Black,3-Pack,Standard,14.86 - 58.1 CFM,10 - 30.4 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,5V Addressable RGB,2.9 mmH₂O
ARCTIC P14 PST         (30),ARCTIC,ACFAN00125A,140 mm,Black,Single,Standard,72.8 CFM,22.5 dB,Yes,None,4-pin PWM,None,2.4 mmH₂O
NZXT F120 RGB Core         (7),NZXT,RF-C12SF-B1,120 mm,Black,Single,Standard,78.86 CFM,33.88 dB,Yes,RGB,4-pin PWM + 4-pin 12V RGB,None,2.57 mmH₂O
ARCTIC P12 PST A-RGB 0dB 3-Pack         (30),ARCTIC,ACFAN00232A,120 mm,Black,3-Pack,Standard,48.8 CFM,,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.85 mmH₂O
Corsair iCUE LINK RX120 3-Pack         (4),Corsair,CO-9051018-WW,120 mm,Black / White,3-Pack,Standard,10.5 - 74.2 CFM,10 - 36 dB,No,RGB,Proprietary,USB,4.38 mmH₂O
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack         (1),Lian Li,"12RSL1W3W, G99.12RSL1W3W.00",120 mm,White,3-Pack,Reverse,64 CFM,31 dB,Yes,Addressable RGB,4-pin PWM,USB,2.07 mmH₂O
Thermalright TL-C12CW-S X3 3-Pack         (44),Thermalright,"TL-C12CW-S X3 D6, TL-C12CW-S X3",120 mm,White,3-Pack,Standard,66.17 CFM,25.6 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.53 mmH₂O
