name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
Antec FLUX         (8),Antec,0-761345-10133-2,ATX Mid Tower,Black / Brown,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","408 mm / 16.063""","1 x Internal 2.5"", 2 x Internal 3.5""",7 x Full-Height,"484 mm x 239 mm x 502 mm, 19.055"" x 9.409"" x 19.764""","58.069 L, 2.051 ft³"
Lian Li A3-mATX         (9),Lian Li,"A3-mATX-W, A3- mATX White, A3W.US, PC-A3W, G99.A3W.00",MicroATX Mini Tower,White,None,Mesh,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","415 mm / 16.339""","1 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"443 mm x 194 mm x 306 mm, 17.441"" x 7.638"" x 12.047""","26.298 L, 0.929 ft³"
Lian Li ODYSSEY X         (0),Lian Li,"TR-01X, G99.TR01X.00",ATX Full Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX, SSI EEB","423 mm / 16.654""","3 x Internal 3.5""",8 x Full-Height,,
Fractal Design Pop Air RGB         (28),Fractal Design,FD-C-POR1A-06,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","405 mm / 15.945""","2 x External 5.25"", 2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"473.5 mm x 215 mm x 454 mm, 18.642"" x 8.465"" x 17.874""","46.218 L, 1.632 ft³"
DIYPC DIY-S07         (0),DIYPC,DIY-S07,ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","315 mm / 12.402""","2 x Internal 2.5"", 2 x Internal 3.5""",6 x Full-Height,"375.92 mm x 175.768 mm x 416.56 mm, 14.8"" x 6.92"" x 16.4""","27.524 L, 0.972 ft³"
Cooler Master Elite 301 Lite         (0),Cooler Master,E301L-KGNN-S00,MicroATX Mini Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","365 mm / 14.37""","1 x Internal 2.5"", 1 x Internal 3.5""",4 x Full-Height,"390 mm x 203.5 mm x 430 mm, 15.354"" x 8.012"" x 16.929""","34.127 L, 1.205 ft³"
Lian Li LANCOOL 216         (25),Lian Li,"LANCOOL 216X, G99.LAN216X.00",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","392 mm / 15.433""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"480.9 mm x 235 mm x 491.7 mm, 18.933"" x 9.252"" x 19.358""","55.568 L, 1.962 ft³"
Cooler Master MasterBox NR200P V2         (2),Cooler Master,"NR200P V2, NR200PV2-KCNN-S00",Mini ITX Desktop,Black,None,Mesh,No,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A",Mini ITX,"356 mm / 14.016""","1 x Internal 2.5"", 1 x Internal 3.5""",3 x Full-Height via Riser,"372 mm x 185 mm x 292 mm, 14.646"" x 7.283"" x 11.496""","20.095 L, 0.71 ft³"
Corsair 9000D RGB AIRFLOW         (1),Corsair,CC-9011273-WW,ATX Full Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX, SSI EEB","400 mm / 15.748""","5 x Internal 3.5"", 6 x Internal 2.5""",8 x Full-Height,"698 mm x 307 mm x 698 mm, 27.48"" x 12.087"" x 27.48""","149.572 L, 5.282 ft³"
Asus ROG Strix Helios         (15),Asus,"GX601, HELIOS GX601, ROG-STRIX-HELIOS, 90DC0020-B38000, 90DC0020-B39000",ATX Full Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","450 mm / 17.717"" With Drive Cages, 450 mm / 17.717"" Without Drive Cages","2 x Internal 3.5"", 4 x Internal 2.5""",8 x Full-Height,"565 mm x 250 mm x 591 mm, 22.244"" x 9.843"" x 23.268""","83.479 L, 2.948 ft³"
